Category,Link,Product Name,_id
null,https://www.wellandgood.com/free-tampons-pads/,Organizations that provide free products,6078e6b1cbb001aa049bd817
null,https://www.plannedparenthood.org/health-center,Planned Parenthood Near Me,6078e6b1cbb001aa049bd818
Non reusable,"https://www.google.com/search?rlz=1C1CHBF_enUS884US884&biw=1474&bih=706&tbm=lcl&sxsrf=ALeKk03iS4UGYPNNeODJo_6PTsxe1w2Akg%3A1615519478739&ei=9t5KYNnSLKfI5gKmhajYCg&q=where+to+buy+pads&oq=where+to+buy+pads&gs_l=psy-ab.3..0i457k1j0l2j0i263i20k1j0l6.4113.4626.0.4792.4.4.0.0.0.0.177.451.0j3.3.0....0...1c.1.64.psy-ab..1.3.450...0i433k1.0.-AtJmUKwDys#rlfi=hd:;si:;mv:[[42.8697388,-73.6242043],[42.628929899999996,-73.9045179]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3,lf:1,lf_ui:10",Sanitary Pads,6078e6b1cbb001aa049bd819
Non reusable,"https://www.google.com/search?rlz=1C1CHBF_enUS884US884&tbs=lf:1,lf_ui:10&tbm=lcl&sxsrf=ALeKk00hfVnfC8ImDMwj-vGIHU_gGk2Rsw:1615519012112&q=where+to+buy+tampons&rflfq=1&num=10&sa=X&ved=2ahUKEwiJ1-Cm5anvAhWBmlkKHWiLAxkQjGp6BAgPEGU&biw=1474&bih=706#rlfi=hd:;si:;mv:[[42.8695704,-73.6242043],[42.6319053,-73.9045179]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3,lf:1,lf_ui:10",Tampons,6078e6b1cbb001aa049bd81a
Reusable,"https://www.google.com/search?q=where+to+buy+menstrual+cups&rlz=1C1CHBF_enUS884US884&biw=1474&bih=762&tbm=lcl&sxsrf=ALeKk018PSJy9PLPadx9AVh8ZerC_8pMCw%3A1617986955755&ei=i4VwYJC7Le61ggfusoHIBQ&oq=where+to+buy+menstrual+cups&gs_l=psy-ab.3..0l3j0i7i30k1l2j0j0i30k1l4.15580.20620.0.20930.19.19.0.0.0.0.209.1991.8j9j1.18.0....0...1c.1.64.psy-ab..2.17.1905...35i39k1j0i67k1j0i433k1j0i457k1j0i22i30k1j0i457i22i30k1j0i390k1j0i22i10i30k1j0i7i10i30k1.0.7Htd8UMA3s0#rlfi=hd:;si:;mv:[[42.8697388,-73.6242043],[42.628929899999996,-73.9045179]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",Menstrual Cups,6078e6b1cbb001aa049bd81b
Reusable,"https://www.google.com/search?q=where+to+buy+period+absorbant+underwear&rlz=1C1CHBF_enUS884US884&biw=1474&bih=762&tbm=lcl&sxsrf=ALeKk02TPfPlQG9LeNBR6vW-YbYTjJCc_Q%3A1617986992012&ei=r4VwYL-DPdal5NoPrJS2gAY&oq=where+to+buy+period+absorbant+underwear&gs_l=psy-ab.3..33i10i299k1.84317.86693.0.86922.14.14.0.0.0.0.139.1318.10j4.14.0....0...1c.1.64.psy-ab..2.11.1071...35i304i39k1j0i13k1j0i13i30k1j0i8i13i30k1j33i299k1.0.dhb3WIKop_A#rlfi=hd:;si:;mv:[[42.8697388,-73.6242043],[42.628929899999996,-73.9045179]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",Period Underwear,6078e6b1cbb001aa049bd81c
Reusable,"https://www.google.com/search?q=where+to+buy+reusable+cloth+menstrual+pads&rlz=1C1CHBF_enUS884US884&biw=1474&bih=762&tbm=lcl&sxsrf=ALeKk02mp5mfB3BjDLIXeQgzxjInRDimPw%3A1617987105791&ei=IYZwYMnuL4Tj5NoPhcG_gA8&oq=where+to+buy+reusable+cloth+menstrual+pads&gs_l=psy-ab.3..33i299k1.7833.9352.0.9523.10.10.0.0.0.0.132.949.8j2.10.0....0...1c.1.64.psy-ab..1.6.600...0i13i30k1j0i390k1j35i304i39k1.0.lr3HykEytu0#rlfi=hd:;si:;mv:[[42.8717019,-73.6210725],[42.5942481,-73.9598462]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",Reusable Cloth Pads,6078e6b1cbb001aa049bd81d
Non reusable,"https://www.google.com/search?rlz=1C1CHBF_enUS884US884&tbm=lcl&sxsrf=ALeKk00lcj65TQFFd-MN7Ar0KRCI5CYOhA:1617987133086&q=where+to+buy+menstrual+discs&spell=1&sa=X&ved=0ahUKEwjw6cXiz_HvAhVOGVkFHa9LDDEQBQg0KAA&biw=1474&bih=762&dpr=1.25#rlfi=hd:;si:;mv:[[42.880455,-73.62177919999999],[42.6317776,-73.94736189999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!1m4!1u16!2m2!16m1!1e1!1m4!1u16!2m2!16m1!1e2!2m1!1e2!2m1!1e16!2m1!1e3!3sIAE,lf:1,lf_ui:10",Menstrual Disks,6078e6b1cbb001aa049bd81e
